"id","category","denominazione_regione","date","origin_x","origin_y","stripes_x","stripes_y","bunches_x","bunches_y","clusters_x","clusters_y"
"Lomb-dime-598","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.924,0.869,-596.964,-1072.97,-596.964,-1072.97
"Lomb-dime-599","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.913,0.705,-648.334,-730.919,-648.334,-730.919
"Lomb-dime-600","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.939,0.152,-836.482,-1010.481,-836.482,-1010.481
"Lomb-dime-601","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.917,0.585,-509.005,-939.426,-509.005,-939.426
"Lomb-dime-602","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.954,0.457,-802.399,-765.061,-802.399,-765.061
"Lomb-dime-603","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.909,0.642,-699.049,-1091.884,-699.049,-1091.884
"Lomb-dime-604","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.982,0.602,-556.147,-784.274,-556.147,-784.274
"Lomb-dime-605","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.93,0.183,-867.772,-911.631,-867.772,-911.631
"Lomb-dime-606","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.927,0.139,-552.652,-1030.015,-552.652,-1030.015
"Lomb-dime-607","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.903,0.048,-707.864,-725.94,-707.864,-725.94
"Lomb-dime-608","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.959,0.118,-795.531,-1055.225,-795.531,-1055.225
"Lomb-dime-609","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.995,0.987,-509.204,-873.715,-509.204,-873.715
"Lomb-dime-610","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.965,0.987,-842.475,-810.39,-842.475,-810.39
"Lomb-dime-611","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.977,0.644,-634.507,-1085.386,-634.507,-1085.386
"Lomb-dime-612","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.988,0.996,-607.576,-744.39,-607.576,-744.39
"Lomb-dime-613","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.998,0.512,-855.48,-975.251,-855.48,-975.251
"Lomb-dime-614","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.95,0.658,-512.211,-976.781,-512.211,-976.781
"Lomb-dime-615","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.95,0.873,-772.47,-745.741,-772.47,-745.741
"Lomb-dime-616","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.972,0.096,-736.906,-1085.32,-736.906,-1085.32
"Lomb-dime-617","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.965,0.838,-534.943,-817.3,-534.943,-817.3
"Lomb-dime-618","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.941,0.869,-866.251,-873.223,-866.251,-873.223
"Lomb-dime-619","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.936,0.036,-578.035,-1057.134,-578.035,-1057.134
